Artist,Track,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,,,,,
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Ocean Drive,0.00637,0.686,0.718,0.000703,8,0.119,-5.054,0.0431,115.026,,,,
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Inhale,0.0281,0.741,0.814,0,2,0.064,-4.393,0.0646,118.048,,,,
Duke Dumont,61lyPtntblHJvA7FMMhi7E,I Got U,0.00377,0.636,0.761,0.00784,9,0.0851,-7.752,0.035,120.837,,,,
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Real Life,0.148,0.543,0.74,0.00358,7,0.142,-5.187,0.0557,123.916,,,,
Duke Dumont,61lyPtntblHJvA7FMMhi7E,|Runway - For Club Play Only,0.0681,0.832,0.801,0.00786,8,0.105,-6.237,0.336,125.979,,,,
Duke Dumont,61lyPtntblHJvA7FMMhi7E,The Giver (Reprise),0.00206,0.605,0.935,1.96E-05,4,0.324,-4.526,0.143,123.727,,,,
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Need U (100%),0.000607,0.621,0.84,0.00188,5,0.656,-5.52,0.064,123.266,,,,
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Won't Look Back,0.00502,0.698,0.88,0.631,8,0.171,-6.014,0.0457,124.008,,,,
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Be Here,0.00355,0.735,0.75,0.152,6,0.156,-6.177,0.0546,124.022,,,,
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Ocean Drive - Extended Mix,0.00751,0.672,0.685,0.000124,8,0.172,-5.595,0.0384,115.009,,,,
Riton,7i9j813KFoSBMldGqlh2Z1,Fake ID,0.21,0.746,0.862,0.0363,8,0.225,-6.11,0.0776,122.011,,,,
Riton,7i9j813KFoSBMldGqlh2Z1,Ginger,0.0701,0.791,0.935,0.00369,3,0.0511,-4.118,0.074,121.999,,,,
Riton,7i9j813KFoSBMldGqlh2Z1,Back To You - Riton & Kah-Lo Remix,0.0283,0.747,0.751,3.71E-05,6,0.498,-5.053,0.0342,113.001,,,,
Riton,7i9j813KFoSBMldGqlh2Z1,Rinse & Repeat - Radio Edit,0.0377,0.78,0.726,0.00337,6,0.133,-6.486,0.0612,122.007,,,,
Riton,7i9j813KFoSBMldGqlh2Z1,Catching Feelings (feat. Mr Eazi),0.148,0.764,0.692,4.12E-05,6,0.129,-7.769,0.0828,119.918,,,,
Riton,7i9j813KFoSBMldGqlh2Z1,Up & Down,0.0222,0.808,0.858,0.721,0,0.0829,-5.919,0.0449,125.006,,,,
Riton,7i9j813KFoSBMldGqlh2Z1,Dangerous,0.13,0.866,0.761,0.391,3,0.0967,-8.324,0.0664,123.976,,,,
Riton,7i9j813KFoSBMldGqlh2Z1,Deeper,0.00971,0.69,0.878,0,11,0.138,-3.978,0.0472,123.978,,,,
Riton,7i9j813KFoSBMldGqlh2Z1,Ginger - Todd Terry Remix,0.0971,0.794,0.92,0.00236,11,0.0468,-6.647,0.0542,124.001,,,,
Riton,7i9j813KFoSBMldGqlh2Z1,Fasta,0.0128,0.802,0.839,0.226,2,0.0339,-4.784,0.0676,121.007,,,,
Philip George,0Q9slhIaEgg190iG8udYIV,Wish You Were Mine - Radio Edit,0.0114,0.654,0.831,0.05,7,0.0911,-4.008,0.029,123.002,,,,
