Artist,Track,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Ocean Drive,0.00637,0.686,0.718,0.000703,8,0.119,-5.054,0.0431,115.026
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Inhale,0.0281,0.741,0.814,0,2,0.064,-4.393,0.0646,118.048
Duke Dumont,61lyPtntblHJvA7FMMhi7E,I Got U,0.00377,0.636,0.761,0.00784,9,0.0851,-7.752,0.035,120.837
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Real Life,0.148,0.543,0.74,0.00358,7,0.142,-5.187,0.0557,123.916
Duke Dumont,61lyPtntblHJvA7FMMhi7E,|Runway - For Club Play Only, Pt. 5|,0.0681,0.832,0.801,0.00786,8,0.105,-6.237,0.336,125.979
Duke Dumont,61lyPtntblHJvA7FMMhi7E,The Giver (Reprise),0.00206,0.605,0.935,1.96e-05,4,0.324,-4.526,0.143,123.727
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Need U (100%),0.000607,0.621,0.84,0.00188,5,0.656,-5.52,0.064,123.266
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Won't Look Back,0.00502,0.698,0.88,0.631,8,0.171,-6.014,0.0457,124.008
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Be Here,0.00355,0.735,0.75,0.152,6,0.156,-6.177,0.0546,124.022
Duke Dumont,61lyPtntblHJvA7FMMhi7E,Ocean Drive - Extended Mix,0.00751,0.672,0.685,0.000124,8,0.172,-5.595,0.0384,115.009
Philip George,0Q9slhIaEgg190iG8udYIV,Wish You Were Mine - Radio Edit,0.0114,0.654,0.831,0.05,7,0.0911,-4.008,0.029,123.002
Philip George,0Q9slhIaEgg190iG8udYIV,Alone No More,0.0813,0.383,0.918,2.86e-05,1,0.148,-4.543,0.0551,121.396
Philip George,0Q9slhIaEgg190iG8udYIV,Losing My Mind,0.0737,0.609,0.792,0,1,0.575,-6.273,0.106,123.906
Philip George,0Q9slhIaEgg190iG8udYIV,Feel This Way,0.0243,0.615,0.877,0.0302,5,0.726,-3.883,0.0455,123.977
Philip George,0Q9slhIaEgg190iG8udYIV,Losing My Mind - Mandal & Forbes Remix,0.0105,0.758,0.749,0.00558,10,0.0422,-5.663,0.057,121.975
Philip George,0Q9slhIaEgg190iG8udYIV,Dancin - Philip George Remix,0.0025,0.711,0.551,0.00089,10,0.0541,-11.345,0.0515,124.001
Philip George,0Q9slhIaEgg190iG8udYIV,Wish You Were Mine - Hollaphonic Remix,0.00936,0.703,0.839,0.16,7,0.143,-4.598,0.0366,122.97
Philip George,0Q9slhIaEgg190iG8udYIV,Losing My Mind - Acoustic,0.23,0.594,0.392,0.00774,4,0.0782,-10.316,0.0331,104.934
Philip George,0Q9slhIaEgg190iG8udYIV,Wish You Were Mine - Dexcell Remix,0.0171,0.436,0.78,0.35,7,0.0804,-6.783,0.0345,174.07
Philip George,0Q9slhIaEgg190iG8udYIV,Be Bold - Philip George Remix,0.015,0.651,0.985,0.938,10,0.0265,-5.059,0.0658,124.514
Riton,7i9j813KFoSBMldGqlh2Z1,Fake ID,0.21,0.746,0.862,0.0363,8,0.225,-6.11,0.0776,122.011
Riton,7i9j813KFoSBMldGqlh2Z1,Ginger,0.0701,0.791,0.935,0.00369,3,0.0511,-4.118,0.074,121.999
